index,annotation,diary,tag,source,text,uri,date,label,description,latitude,longitude,checken
43,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/7b55c520-36ca-44ac-818f-906826272c91,"Dagboek Toby Vos, deel 1",abbrev,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1854,Deutschl,,,,Deutschland,,,
44,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/518c49d1-b63c-47b7-89cd-a8f035de2c6b,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2132,Rotterdam,http://www.wikidata.org/entity/Q34370,,,,,,
45,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/bb147fb9-4c51-46ca-a0de-8f602b6c7cd0,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2323,Amsterdam,http://www.wikidata.org/entity/Q727,,,,,,
46,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/15ef8062-0826-4dae-ba98-5240f65760ac,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2555,Hitler,http://www.wikidata.org/entity/Q352,,,,,,
47,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/1603f927-1192-45a3-a260-149ffa4b0429,"Dagboek Toby Vos, deel 1",sic,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2849,hoever,,,,hoe ver,,,
48,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/6807b192-695b-4b8b-adff-6d1d3af3ef65,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2849,Delft,http://www.wikidata.org/entity/Q690,,,,,,
49,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/17bba63e-3545-441a-9c63-2fed83de78d5,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2986,Den Haag,http://www.wikidata.org/entity/Q36600,,,,,,
50,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/de086e90-9004-4b15-8315-1a222d2bb64e,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2986,Haarlem,http://www.wikidata.org/entity/Q9920,,,,,,
51,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/3705548e-f207-46ce-8ac7-416e9953d6ed,"Dagboek Toby Vos, deel 1",abbrev,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_2986,enz.,,,,enzovoort,,,
52,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/218ea410-bc5c-4153-9237-8f8451bd03ff,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3092,Amsterdam,http://www.wikidata.org/entity/Q727,,,,,,
53,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/e6447139-2f50-4c6f-97fc-4d9fb63cbda2,"Dagboek Toby Vos, deel 1",organization,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3229,De politie,,,,,,,
54,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/fd989f00-bbb2-4af7-92e6-8b566529e1d8,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3456,Centraal station,https://adamlink.nl/geo/building/centraal-station/1208,,,,,,
55,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/ea31a0b4-59ab-4285-b2f7-395cc335f039,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3456,Damrak,https://adamlink.nl/geo/street/damrak/882,,,,,,
56,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/5e6bf83b-4f60-49fe-a1e2-df3adc2da0ee,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3456,Dam,https://adamlink.nl/geo/street/dam/880,,,,,,
57,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/5223af73-c418-4d1a-9dd4-7ca91a8f65db,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3614,Hitler,http://www.wikidata.org/entity/Q352,,,,,,
58,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/04a05bef-4c17-4ca1-9bef-fc243253f167,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3929,Rotterdam,http://www.wikidata.org/entity/Q34370,,,,,,
59,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/5e293fe0-e4dd-408f-b414-cd54490a7abf,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_3974,Zondag 27 Aug. 1944.,1944-08-27,,,,,,
60,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/4ce2a616-273b-4a06-ab4d-11248f957cd6,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_4004,1941,,1941,,,,,
61,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/52c0d6cf-d26b-4417-9ff5-fca709be60c9,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_4004,Peter de Grote,http://www.wikidata.org/entity/Q223183,,,,,,
62,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/22d77ccd-9dcf-4a5f-a3ad-abe57b4e2ac8,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_4106,Koning Peter van Joegoslavië,http://www.wikidata.org/entity/Q223183,,,,,,
63,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/459a974e-d6a9-4be8-8921-9ec88e241aeb,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_4106,Joegoslavië,http://www.wikidata.org/entity/Q36704,,,,,,
64,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/2e1336e9-37b0-4665-86d2-28e3b38698f6,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_4135,Sept. 1941,1941-09-01,,,,,,
